type, energy_min, energy_max, natrium_min, natrium_max, sugar_min, sugar_max, protein_min, protein_max, fat_min, fat_max, fruits_min, fruits_max
"1", 80, -1, -1, 50, -1, -1, -1, 5.5, -1, 4, -1, 10
"2", 60, -1, -1, 50, -1, -1, -1, -1, -1, 4.5, -1, 5
"3.1", 60, -1, -1, 50, -1, -1, -1, -1, -1, 4.5, -1, -1
"4.1", 60, -1, -1, 50, -1, 15, 3, -1, -1, 4.5, -1, 5
"4.3", 60, -1, -1, 50, -1, 15, 3, -1, -1, 4.5, -1, 5
"4.5", 60, -1, -1, 50, -1, 15, 7, -1, -1, 6, -1, 5
"5.1", -1, 50, -1, 50, -1, -1, -1, -1, -1, 4.5, 100, 100
"5.2", -1, 50, -1, 50, -1, 15, -1, 5.5, -1, 4.5, -1, -1
